size,exTime,gflops
2000,0.022130,,722.989671
2000,0.022070,,724.978598
2000,0.022946,,697.284730
2000,0.022600,,707.962378
2000,0.022946,,697.281691
2500,0.033630,,929.241377
2500,0.033167,,942.194853
2500,0.035263,,886.209081
2500,0.034335,,910.156116
2500,0.032916,,949.372270
3000,0.044236,,1220.725698
3000,0.045953,,1175.109228
3000,0.045358,,1190.525533
3000,0.045979,,1174.451223
3000,0.045508,,1186.610550
3500,0.059666,,1437.164559
3500,0.058711,,1460.541060
3500,0.058559,,1464.335215
3500,0.058856,,1456.957623
3500,0.058965,,1454.247417
4000,0.076552,,1672.070022
4000,0.076935,,1663.748240
4000,0.077746,,1646.395296
4000,0.077519,,1651.215717
4000,0.079633,,1607.367389
4500,0.102688,,1774.788071
4500,0.103016,,1769.142469
4500,0.103552,,1759.987769
4500,0.106376,,1713.255658
4500,0.104062,,1751.363940
5000,0.132670,,1884.370731
5000,0.140529,,1778.997515
5000,0.132264,,1890.152631
5000,0.134477,,1859.054766
5000,0.130899,,1909.875715
5500,0.176969,,1880.277863
5500,0.183009,,1818.211851
5500,0.179047,,1858.452837
5500,0.175519,,1895.811153
5500,0.184786,,1800.733129
6000,0.256067,,1687.057806
6000,0.254250,,1699.112552
6000,0.252082,,1713.728718
6000,0.249741,,1729.791136
6000,0.242701,,1779.967731
6500,0.331778,,1655.475197
6500,0.369209,,1487.641009
6500,0.328676,,1671.101025
6500,0.330325,,1662.755546
6500,0.340235,,1614.326707
7000,0.436358,,1572.102937
7000,0.438865,,1563.124028
7000,0.449066,,1527.615190
7000,0.456523,,1502.661200
7000,0.431662,,1589.206679
7500,0.529543,,1593.355488
7500,0.541328,,1558.667427
7500,0.540073,,1562.288981
7500,0.537118,,1570.882605
7500,0.536436,,1572.881871
8000,0.625557,,1636.942048
8000,0.626250,,1635.129137
8000,0.634713,,1613.326770
8000,0.634519,,1613.821354
8000,0.622877,,1643.983787
8500,0.764817,,1605.938791
8500,0.750557,,1636.451566
8500,0.741585,,1656.249852
8500,0.751932,,1633.458073
8500,0.744654,,1649.423631
9000,0.892021,,1634.490406
9000,0.879441,,1657.871827
9000,0.884165,,1649.012717
9000,0.878005,,1660.582804
9000,0.883918,,1649.474556
9500,0.977786,,1753.707561
9500,0.978182,,1752.997542
9500,0.976200,,1756.555999
9500,0.981412,,1747.227010
9500,0.986365,,1738.454403
10000,1.100598,,1817.194457
10000,1.138090,,1757.330014
10000,1.134016,,1763.643005
10000,1.151219,,1737.289369
10000,1.153468,,1733.902133
10500,1.269400,,1823.893541
10500,1.295308,,1787.412598
10500,1.287063,,1798.862557
10500,1.261749,,1834.953526
10500,1.298446,,1783.093567
11000,1.484505,,1793.189890
11000,1.733917,,1535.252605
11000,1.668364,,1595.575341
11000,1.533365,,1736.051600
11000,1.553381,,1713.681704
11500,1.609216,,1890.205863
11500,1.614553,,1883.958160
11500,1.645828,,1848.157728
11500,1.671790,,1819.457249
11500,1.620258,,1877.323932
12000,1.869323,,1848.797886
12000,1.918599,,1801.314715
12000,1.908427,,1810.915073
12000,1.850547,,1867.555626
12000,1.892835,,1825.832666
12500,2.049315,,1906.124388
12500,2.128076,,1835.578393
12500,2.064888,,1891.748946
12500,2.033253,,1921.182501
12500,2.120884,,1841.802831
13000,2.275963,,1930.611041
13000,2.244710,,1957.491027
13000,2.251509,,1951.580086
13000,2.275392,,1931.095778
13000,2.256823,,1946.984380
13500,2.567332,,1916.678215
13500,2.571473,,1913.591679
13500,2.532197,,1943.273148
13500,2.545845,,1932.855313
13500,2.550283,,1929.491668
14000,2.738990,,2003.658299
14000,2.718120,,2019.042461
14000,2.773993,,1978.375623
14000,2.795053,,1963.469345
14000,2.788807,,1967.866808
14500,3.035883,,2008.394156
14500,3.040613,,2005.270074
14500,3.028947,,2012.993199
14500,3.023674,,2016.503804
14500,3.019997,,2018.959209
15000,3.434926,,1965.107643
15000,3.422600,,1972.184685
15000,3.378180,,1998.117237
15000,3.389160,,1991.643874
15000,3.377556,,1998.486432
15500,3.645194,,2043.169780
15500,3.715681,,2004.410384
15500,3.652260,,2039.216574
15500,3.669178,,2029.814564
15500,3.691018,,2017.804011
16000,4.059730,,2017.868401
16000,3.980972,,2057.788762
16000,4.049594,,2022.918646
16000,3.984175,,2056.134504
16000,3.929329,,2084.834565
16500,4.335466,,2072.268685
16500,4.458540,,2015.065462
16500,4.512999,,1990.749531
16500,4.542551,,1977.798580
16500,4.347658,,2066.457438
17000,4.909304,,2001.505730
17000,4.829070,,2034.760404
17000,4.716826,,2083.180341
17000,4.779136,,2056.019963
17000,4.918027,,1997.955504
17500,5.012275,,2138.500003
17500,5.159384,,2077.525165
17500,5.212219,,2056.465695
17500,5.066719,,2115.520900
17500,5.050190,,2122.444830
18000,5.258843,,2217.978182
18000,5.582625,,2089.339699
18000,5.242824,,2224.755124
18000,5.239848,,2226.018810
18000,5.689696,,2050.021744
18500,5.388867,,2349.890821
18500,5.760815,,2198.169749
18500,5.495998,,2304.085725
18500,5.525945,,2291.598850
18500,5.570440,,2273.294495
19000,6.347049,,2161.319388
19000,6.384408,,2148.672275
19000,6.351209,,2159.903702
19000,6.268114,,2188.537115
19000,6.226923,,2203.014125
19500,6.622522,,2239.290572
19500,6.563405,,2259.459961
19500,6.791714,,2183.506409
19500,6.547786,,2264.849454
19500,6.649887,,2230.075606
20000,5.804035,,2756.702916
20000,6.973200,,2294.498897
20000,7.010285,,2282.361007
20000,5.879675,,2721.239054
20000,6.693247,,2390.468969
